SCHOOL_YEAR,DATA_LEVEL,PUBLIC_OR_INDEPENDENT,DISTRICT_NUMBER,SCHOOL_NUMBER,AB_STUDENT_IN_AB_PROGRAM,ELL,FRENCH_PROGRAM,CORE_FRENCH,FRENCH_IMMERSION,PROGRAMME_FRANCOPHONE,CAREER_PREPARATION,CAREER_TECH_CENTRE,CONTINUING_ED_PROGRAM,COOP,DIST_LEARNING,APPRENTICESHIP
2016/2017,DISTRICT LEVEL,BC Public School,40,,314,1051,2657,1664,993,,38,52,774,,760,5
2016/2017,DISTRICT LEVEL,BC Public School,41,,701,4867,10244,7972,2272,,2174,81,545,,1323,5
2016/2017,DISTRICT LEVEL,BC Public School,42,,1208,533,6682,5113,1569,2,259,134,350,,425,1
2016/2017,DISTRICT LEVEL,BC Public School,43,,1288,4727,14112,10152,3960,1,382,90,1006,,1029,
2016/2017,DISTRICT LEVEL,BC Public School,44,,594,925,7312,4783,2529,,215,,15,,640,6
2016/2017,DISTRICT LEVEL,BC Public School,45,,64,1104,3101,2071,1029,1,99,10,,,292,7
2016/2017,DISTRICT LEVEL,BC Public School,46,,578,122,1182,1182,,,,10,6,,141,
2016/2017,DISTRICT LEVEL,BC Public School,47,,241,4,659,518,141,,,,67,,266,
2016/2017,DISTRICT LEVEL,BC Public School,48,,582,411,2212,1281,927,6,77,12,,,289,2
2016/2017,DISTRICT LEVEL,BC Public School,49,,129,32,65,65,,,,,,,,
2016/2017,DISTRICT LEVEL,BC Public School,50,,310,30,115,99,16,,,,,,39,1
2016/2017,DISTRICT LEVEL,BC Public School,51,,355,,523,523,,,,,,,13,
2016/2017,DISTRICT LEVEL,BC Public School,52,,1268,175,587,376,211,,63,,,,14,
2016/2017,DISTRICT LEVEL,BC Public School,53,,413,145,929,904,25,,59,25,3,,160,1
2016/2017,DISTRICT LEVEL,BC Public School,54,,483,16,834,641,193,,,,,,107,
2016/2017,DISTRICT LEVEL,BC Public School,57,,3530,1518,5047,3978,1069,,,83,255,,311,39
2016/2017,DISTRICT LEVEL,BC Public School,58,,863,37,782,579,203,,,9,6,,398,
2016/2017,DISTRICT LEVEL,BC Public School,59,,1107,105,1245,876,369,,42,32,,,58,
2016/2017,DISTRICT LEVEL,BC Public School,60,,1090,448,1458,1075,383,,199,84,1,,368,14
2016/2017,DISTRICT LEVEL,BC Public School,61,,1455,1836,9896,6027,3870,,305,87,149,,685,1
2016/2017,DISTRICT LEVEL,BC Public School,62,,1161,552,4221,2943,1278,,,,211,,1826,
2016/2017,DISTRICT LEVEL,BC Public School,63,,570,327,4686,3790,896,,,35,82,,1455,3
2016/2017,DISTRICT LEVEL,BC Public School,64,,144,52,500,357,143,,83,5,,,27,16
2016/2017,DISTRICT LEVEL,BC Public School,67,,757,73,2267,1587,680,,53,12,8,,143,
2016/2017,DISTRICT LEVEL,BC Public School,68,,2161,673,5739,4161,1578,,,72,75,,692,
2016/2017,DISTRICT LEVEL,BC Public School,69,,452,45,1640,1258,382,,,,12,,468,
2016/2017,DISTRICT LEVEL,BC Public School,70,,1055,147,1285,938,347,,,19,,,220,11
2016/2017,DISTRICT LEVEL,BC Public School,71,,1175,93,2944,1730,1211,3,29,,1,,1276,
2016/2017,DISTRICT LEVEL,BC Public School,72,,1202,240,2472,1647,825,,,,31,,277,
2016/2017,DISTRICT LEVEL,BC Public School,73,,2438,161,5928,4715,1212,2,53,93,101,,496,110
2016/2017,DISTRICT LEVEL,BC Public School,74,,642,6,201,201,,,,2,,,37,
2016/2017,DISTRICT LEVEL,BC Public School,75,,1079,371,2394,1898,496,,14,39,63,,181,6
2016/2017,DISTRICT LEVEL,BC Public School,78,,637,74,475,475,,,,,18,,13,5
2016/2017,DISTRICT LEVEL,BC Public School,79,,1495,358,4083,3033,1050,,14,1,95,,131,
2016/2017,DISTRICT LEVEL,BC Public School,81,,224,19,238,238,,,10,3,,,11,4
2016/2017,DISTRICT LEVEL,BC Public School,82,,1857,147,1546,1112,432,2,,57,9,,143,8
2016/2017,DISTRICT LEVEL,BC Public School,83,,1054,32,2286,1533,753,,126,58,,,183,21
2016/2017,DISTRICT LEVEL,BC Public School,84,,204,48,60,60,,,,,,,8,
2016/2017,DISTRICT LEVEL,BC Public School,85,,579,172,416,416,,,47,,,,40,2
2016/2017,DISTRICT LEVEL,BC Public School,87,,144,40,12,12,,,,,,,,
2016/2017,DISTRICT LEVEL,BC Public School,91,,1310,130,1942,1722,220,,18,16,13,7,1372,1
2016/2017,DISTRICT LEVEL,BC Public School,92,,378,139,,,,,,,,,,
2016/2017,DISTRICT LEVEL,BC Public School,93,,484,1902,5691,,,5691,,,,,167,1
2012/2013,SCHOOL LEVEL,BC Public School,5,501007,12,,74,74,,,,,,,,
2012/2013,SCHOOL LEVEL,BC Public School,5,501009,25,7,111,42,69,,,,,,,
2012/2013,SCHOOL LEVEL,BC Public School,5,501010,45,3,99,99,,,,,,,,
2012/2013,SCHOOL LEVEL,BC Public School,5,501017,29,1,73,73,,,,,,,,
2012/2013,SCHOOL LEVEL,BC Public School,5,502001,105,2,122,66,56,,37,16,,,136,
2012/2013,SCHOOL LEVEL,BC Public School,5,502011,50,1,218,218,,,,,,,,
2012/2013,SCHOOL LEVEL,BC Public School,5,502023,49,1,84,84,,,,,,,,
2012/2013,SCHOOL LEVEL,BC Public School,5,502024,40,3,241,42,199,,,,,,,
2012/2013,SCHOOL LEVEL,BC Public School,5,502028,42,2,88,88,,,,,,,,
2012/2013,SCHOOL LEVEL,BC Public School,5,502029,18,3,66,66,,,,,,,,
2012/2013,SCHOOL LEVEL,BC Public School,5,502030,26,,32,32,,,,,,,,
2012/2013,SCHOOL LEVEL,BC Public School,5,502031,40,1,40,40,,,,,,,,
2012/2013,SCHOOL LEVEL,BC Public School,5,502032,17,,55,55,,,,,,,,
2012/2013,SCHOOL LEVEL,BC Public School,5,505018,66,,326,278,48,,,,,,,
2012/2013,SCHOOL LEVEL,BC Public School,5,505033,29,,91,91,,,,,,,29,
2012/2013,SCHOOL LEVEL,BC Public School,5,505034,38,,171,108,63,1,3,,,,63,
2012/2013,SCHOOL LEVEL,BC Public School,5,505035,41,,90,89,1,,32,,,,61,
2012/2013,SCHOOL LEVEL,BC Public School,5,596109,,,161,161,,,,,,,,
2012/2013,SCHOOL LEVEL,BC Public School,5,596640,,,68,68,,,,,,,,
2012/2013,SCHOOL LEVEL,BC Public School,5,596715,,,286,286,,,,,,,,
2012/2013,SCHOOL LEVEL,BC Public School,5,599078,20,,,,,,,,,,2,
2012/2013,SCHOOL LEVEL,BC Public School,5,599156,,,,,,,,,,,108,
2012/2013,SCHOOL LEVEL,BC Public School,6,603005,25,,,,,,,,,,,
2012/2013,SCHOOL LEVEL,BC Public School,6,603007,15,7,,,,,,,,,,
2012/2013,SCHOOL LEVEL,BC Public School,6,603008,54,1,157,157,,,6,,,,36,
2012/2013,SCHOOL LEVEL,BC Public School,6,604007,25,8,102,102,,,,,,,,
2012/2013,SCHOOL LEVEL,BC Public School,6,604011,16,3,21,21,,,,,,,,
2012/2013,SCHOOL LEVEL,BC Public School,6,604012,34,8,106,106,,,,,,,,
2012/2013,SCHOOL LEVEL,BC Public School,6,604013,25,2,25,25,,,,,,,,
2012/2013,SCHOOL LEVEL,BC Public School,6,604014,37,7,,,,,,,,,,
2012/2013,SCHOOL LEVEL,BC Public School,6,604015,69,2,251,251,,,3,9,,,59,
2012/2013,SCHOOL LEVEL,BC Public School,6,606000,,,,,,,,,4,,,
2012/2013,SCHOOL LEVEL,BC Public School,6,606017,37,,203,203,,,,,,,,
2012/2013,SCHOOL LEVEL,BC Public School,6,618003,37,3,186,108,78,,,,,,,
2012/2013,SCHOOL LEVEL,BC Public School,6,618005,66,1,128,64,63,1,1,,,,68,1
2012/2013,SCHOOL LEVEL,BC Public School,6,618007,27,,33,33,,,,,,,,
2012/2013,SCHOOL LEVEL,BC Public School,6,618008,38,13,35,,35,,,,,,,
2012/2013,SCHOOL LEVEL,BC Public School,6,696795,,2,51,51,,,,,,,,
2012/2013,SCHOOL LEVEL,BC Public School,6,699069,10,,,,,,2,,,,1,
2012/2013,SCHOOL LEVEL,BC Public School,6,699086,6,,,,,,1,,,,1,
2012/2013,SCHOOL LEVEL,BC Public School,6,699127,2,,,,,,,,,,2,
2012/2013,SCHOOL LEVEL,BC Public School,6,699157,,,,,,,,,,,27,
2012/2013,SCHOOL LEVEL,BC Public School,8,807004,7,4,63,63,,,,,,,,
2012/2013,SCHOOL LEVEL,BC Public School,8,807005,91,2,416,259,157,,,,,,,
2012/2013,SCHOOL LEVEL,BC Public School,8,807011,30,2,63,63,,,,,,,,
2012/2013,SCHOOL LEVEL,BC Public School,8,807012,22,,54,54,,,,,,,19,
2012/2013,SCHOOL LEVEL,BC Public School,8,807013,57,,196,77,120,,,16,,,120,
2012/2013,SCHOOL LEVEL,BC Public School,8,807014,6,,74,74,,,,,,,,
2012/2013,SCHOOL LEVEL,BC Public School,8,807016,15,,23,23,,,,,,,,
2012/2013,SCHOOL LEVEL,BC Public School,8,807018,18,1,18,18,,,,,,,,
2012/2013,SCHOOL LEVEL,BC Public School,8,807025,30,,129,129,,,,6,,,33,
2012/2013,SCHOOL LEVEL,BC Public School,8,807026,6,,22,22,,,,,,,,
2012/2013,SCHOOL LEVEL,BC Public School,8,807033,24,3,118,118,,,,,,,,
2012/2013,SCHOOL LEVEL,BC Public School,8,807034,8,2,25,25,,,,,,,,
2012/2013,SCHOOL LEVEL,BC Public School,8,807035,19,2,29,29,,,,,,,,
2012/2013,SCHOOL LEVEL,BC Public School,8,886004,57,5,133,133,,,,,,,,
2012/2013,SCHOOL LEVEL,BC Public School,8,886005,2,3,5,5,,,,,,,,
2012/2013,SCHOOL LEVEL,BC Public School,8,886006,16,,24,24,,,,,,,11,
2012/2013,SCHOOL LEVEL,BC Public School,8,886007,94,2,199,199,,,,18,,,13,1
2012/2013,SCHOOL LEVEL,BC Public School,8,886012,2,,,,,,,,,,,
2012/2013,SCHOOL LEVEL,BC Public School,8,886014,43,,54,54,,,,,,,,
2012/2013,SCHOOL LEVEL,BC Public School,8,886016,13,,,,,,,,,,277,
2012/2013,SCHOOL LEVEL,BC Public School,8,886018,36,6,74,74,,,,1,,,17,2
2012/2013,SCHOOL LEVEL,BC Public School,8,886019,41,2,65,65,,,,,,,,
2012/2013,SCHOOL LEVEL,BC Public School,8,896143,,,97,97,,,,,,,,
2012/2013,SCHOOL LEVEL,BC Public School,8,896220,,,12,12,,,,,,,,
2012/2013,SCHOOL LEVEL,BC Public School,8,896449,,,139,139,,,,,,,,
2012/2013,SCHOOL LEVEL,BC Public School,8,896749,,,,,,,,,,,214,
2012/2013,SCHOOL LEVEL,BC Public School,8,898001,5,,47,47,,,,,,,641,
2012/2013,SCHOOL LEVEL,BC Public School,8,899178,9,,139,139,,,,,,,1,
2012/2013,SCHOOL LEVEL,BC Public School,8,899225,4,,,,,,,,,,3,
2012/2013,SCHOOL LEVEL,BC Public School,10,1010003,4,,9,9,,,,,,,,
2012/2013,SCHOOL LEVEL,BC Public School,10,1010004,20,,100,100,,,,,,,,
2012/2013,SCHOOL LEVEL,BC Public School,10,1010006,26,,98,97,,1,,,,,15,
2012/2013,SCHOOL LEVEL,BC Public School,10,1010011,12,,22,22,,,,,,,,
2012/2013,SCHOOL LEVEL,BC Public School,10,1099217,3,,,,,,,,,,23,
2012/2013,SCHOOL LEVEL,BC Public School,19,1919003,50,3,223,223,,,18,14,,,55,
2012/2013,SCHOOL LEVEL,BC Public School,19,1919013,25,2,63,63,,,,,,,,
2012/2013,SCHOOL LEVEL,BC Public School,19,1919015,10,3,47,47,,,,,,,,
2012/2013,SCHOOL LEVEL,BC Public School,19,1919016,33,4,94,94,,,,,,,,
2012/2013,SCHOOL LEVEL,BC Public School,20,2009006,32,1,112,112,,,,,,,,
2012/2013,SCHOOL LEVEL,BC Public School,20,2009010,32,1,274,163,111,,112,,,,25,
2012/2013,SCHOOL LEVEL,BC Public School,20,2009011,33,4,183,123,60,,,,,,,
2012/2013,SCHOOL LEVEL,BC Public School,20,2009017,21,4,,,,,,,,,,
2012/2013,SCHOOL LEVEL,BC Public School,20,2011004,6,1,33,33,,,,,,,,
2012/2013,SCHOOL LEVEL,BC Public School,20,2011005,25,1,134,134,,,,,,,,
2012/2013,SCHOOL LEVEL,BC Public School,20,2011009,27,1,61,61,,,,,,,,
2012/2013,SCHOOL LEVEL,BC Public School,20,2011012,26,3,321,321,,,119,,,,19,
2012/2013,SCHOOL LEVEL,BC Public School,20,2011014,12,6,207,207,,,39,,,,6,
2012/2013,SCHOOL LEVEL,BC Public School,20,2011015,31,1,106,106,,,,,,,,
2012/2013,SCHOOL LEVEL,BC Public School,20,2020000,2,,,,,,,,35,,,
2012/2013,SCHOOL LEVEL,BC Public School,20,2020021,12,1,72,72,,,,,,,,
2012/2013,SCHOOL LEVEL,BC Public School,20,2096098,,,123,123,,,,,,,,
2012/2013,SCHOOL LEVEL,BC Public School,20,2099090,6,,,,,,,,,,1,
2012/2013,SCHOOL LEVEL,BC Public School,20,2099137,31,,,,,,,,,,2,
2012/2013,SCHOOL LEVEL,BC Public School,22,2222000,,,,,,,,,72,,,
2012/2013,SCHOOL LEVEL,BC Public School,22,2222001,60,,608,,608,,,,,,,
2012/2013,SCHOOL LEVEL,BC Public School,22,2222002,10,,142,142,,,,,,,,
2012/2013,SCHOOL LEVEL,BC Public School,22,2222005,6,,13,13,,,,,,,,
2012/2013,SCHOOL LEVEL,BC Public School,22,2222006,19,,46,46,,,,,,,,
2012/2013,SCHOOL LEVEL,BC Public School,22,2222007,133,4,416,77,339,,,8,,,65,
2012/2013,SCHOOL LEVEL,BC Public School,22,2222009,58,1,203,108,95,,,,,,,
2012/2013,SCHOOL LEVEL,BC Public School,22,2222010,62,,112,112,,,,,,,,
2012/2013,SCHOOL LEVEL,BC Public School,22,2222012,33,,141,141,,,,,,,,
2012/2013,SCHOOL LEVEL,BC Public School,22,2222013,46,,115,115,,,,,,,,
2012/2013,SCHOOL LEVEL,BC Public School,22,2222014,22,,167,167,,,,,,,,
2012/2013,SCHOOL LEVEL,BC Public School,22,2222015,34,,89,89,,,,,,,,
2012/2013,SCHOOL LEVEL,BC Public School,22,2222017,72,,344,344,,,,13,,,58,
2012/2013,SCHOOL LEVEL,BC Public School,22,2222019,62,48,105,105,,,,,,,,
2012/2013,SCHOOL LEVEL,BC Public School,22,2222020,93,,48,48,,,,,,,,
2012/2013,SCHOOL LEVEL,BC Public School,22,2222022,15,,237,237,,,,,,,72,8
2012/2013,SCHOOL LEVEL,BC Public School,22,2222024,12,,104,104,,,,,,,,
2012/2013,SCHOOL LEVEL,BC Public School,22,2222025,130,,294,294,,,,4,,,41,
2012/2013,SCHOOL LEVEL,BC Public School,22,2222026,60,1,141,141,,,,,,,,
2012/2013,SCHOOL LEVEL,BC Public School,22,2222027,68,,157,157,,,,3,,,10,
2012/2013,SCHOOL LEVEL,BC Public School,22,2296035,,,22,22,,,,,,,,
2012/2013,SCHOOL LEVEL,BC Public School,22,2296078,17,,102,102,,,,,,,,
2012/2013,SCHOOL LEVEL,BC Public School,22,2296261,,,125,125,,,,,,,7,
2012/2013,SCHOOL LEVEL,BC Public School,22,2296858,,,17,17,,,,,,,,
2012/2013,SCHOOL LEVEL,BC Public School,22,2299077,11,,,,,,,,,,4,
2012/2013,SCHOOL LEVEL,BC Public School,22,2299083,4,,,,,,,,,,Msk,
2012/2013,SCHOOL LEVEL,BC Public School,22,2299150,Msk,,,,,,,,,,,
2012/2013,SCHOOL LEVEL,BC Public School,22,2299151,6,,6,6,,,,,2,,80,
2012/2013,SCHOOL LEVEL,BC Public School,22,2299152,14,,,,,,,,,,1,
2012/2013,SCHOOL LEVEL,BC Public School,23,2323000,,,,,,,,Msk,6,,,
2012/2013,SCHOOL LEVEL,BC Public School,23,2323005,70,,,,,,,3,,,36,
2012/2013,SCHOOL LEVEL,BC Public School,23,2323008,15,1,63,63,,,,,,,,
2012/2013,SCHOOL LEVEL,BC Public School,23,2323014,24,7,74,74,,,,,,,,
2012/2013,SCHOOL LEVEL,BC Public School,23,2323015,94,5,438,438,,,,,,,,
2012/2013,SCHOOL LEVEL,BC Public School,23,2323016,88,6,302,60,242,,,,,,,
2012/2013,SCHOOL LEVEL,BC Public School,23,2323018,23,5,457,64,393,,,,,,,
2012/2013,SCHOOL LEVEL,BC Public School,23,2323022,12,1,93,93,,,,,,,,
2012/2013,SCHOOL LEVEL,BC Public School,23,2323028,80,3,238,238,,,291,4,,,113,1
2012/2013,SCHOOL LEVEL,BC Public School,23,2323029,74,2,548,548,,,,,,,1,
2012/2013,SCHOOL LEVEL,BC Public School,23,2323030,7,10,297,156,141,,,,,,,
2012/2013,SCHOOL LEVEL,BC Public School,23,2323031,43,14,64,64,,,,,,,,
2012/2013,SCHOOL LEVEL,BC Public School,23,2323032,28,6,122,122,,,,,,,,
2012/2013,SCHOOL LEVEL,BC Public School,23,2323033,41,4,76,76,,,,,,,,
2012/2013,SCHOOL LEVEL,BC Public School,23,2323034,37,4,66,66,,,,,,,,
2012/2013,SCHOOL LEVEL,BC Public School,23,2323038,96,6,728,303,425,,,,,,,
2012/2013,SCHOOL LEVEL,BC Public School,23,2323042,35,1,55,55,,,,,,,,
2012/2013,SCHOOL LEVEL,BC Public School,23,2323043,35,7,209,26,183,,,,,,,
2012/2013,SCHOOL LEVEL,BC Public School,23,2323044,180,15,141,141,,,740,110,,,239,
2012/2013,SCHOOL LEVEL,BC Public School,23,2323046,46,9,399,60,339,,,,,,,
2012/2013,SCHOOL LEVEL,BC Public School,23,2323047,64,5,315,315,,,,,,,,
2012/2013,SCHOOL LEVEL,BC Public School,23,2323048,47,65,80,80,,,,,,,,
2012/2013,SCHOOL LEVEL,BC Public School,23,2323049,43,8,89,89,,,,,,,,
2012/2013,SCHOOL LEVEL,BC Public School,23,2323050,51,16,86,86,,,,,,,,
2012/2013,SCHOOL LEVEL,BC Public School,23,2323051,193,1,267,267,,,789,66,,,256,
2012/2013,SCHOOL LEVEL,BC Public School,23,2323052,35,8,77,77,,,,,,,,
2012/2013,SCHOOL LEVEL,BC Public School,23,2323056,26,12,93,93,,,,,,,,
2012/2013,SCHOOL LEVEL,BC Public School,23,2323058,11,1,60,60,,,,,,,,
2012/2013,SCHOOL LEVEL,BC Public School,23,2323059,25,6,510,510,,,382,4,,,184,2
2012/2013,SCHOOL LEVEL,BC Public School,23,2323060,71,,92,92,,,,,,,,
2012/2013,SCHOOL LEVEL,BC Public School,23,2323061,69,6,221,106,115,,,,,,,
2012/2013,SCHOOL LEVEL,BC Public School,23,2323065,31,6,180,180,,,,,,,,
2012/2013,SCHOOL LEVEL,BC Public School,23,2323066,27,17,169,169,,,,,,,,
2012/2013,SCHOOL LEVEL,BC Public School,23,2323067,45,3,120,120,,,,,,,,
2012/2013,SCHOOL LEVEL,BC Public School,23,2323070,17,4,221,221,,,,,,,,
2012/2013,SCHOOL LEVEL,BC Public School,23,2323071,80,,358,358,,,,,,,,
2012/2013,SCHOOL LEVEL,BC Public School,23,2323072,20,3,90,90,,,,,,,,
2012/2013,SCHOOL LEVEL,BC Public School,23,2323073,61,12,54,54,,,,,,,,
2012/2013,SCHOOL LEVEL,BC Public School,23,2323074,15,14,156,156,,,,,,,,
2012/2013,SCHOOL LEVEL,BC Public School,23,2323075,94,2,504,504,,,,,,,,
2012/2013,SCHOOL LEVEL,BC Public School,23,2323076,141,9,562,243,319,,1064,28,,,59,
2012/2013,SCHOOL LEVEL,BC Public School,23,2323077,25,33,120,120,,,,,,,,
2012/2013,SCHOOL LEVEL,BC Public School,23,2323078,15,15,181,181,,,,,,,,
2012/2013,SCHOOL LEVEL,BC Public School,23,2396013,,3,147,147,,,,,,,7,
2012/2013,SCHOOL LEVEL,BC Public School,23,2396023,,,21,21,,,,,,,1,
2012/2013,SCHOOL LEVEL,BC Public School,23,2396081,,,227,227,,,,,,,,
2012/2013,SCHOOL LEVEL,BC Public School,23,2396281,,,298,298,,,,,,,16,
2012/2013,SCHOOL LEVEL,BC Public School,23,2396360,,,46,46,,,,,,,,
2012/2013,SCHOOL LEVEL,BC Public School,23,2396479,,,30,30,,,,,,,36,
2012/2013,SCHOOL LEVEL,BC Public School,23,2396609,,,53,53,,,,,,,,
2012/2013,SCHOOL LEVEL,BC Public School,23,2396676,,,43,43,,,,,,,6,
2012/2013,SCHOOL LEVEL,BC Public School,23,2396689,,,167,167,,,,,,,,
2012/2013,SCHOOL LEVEL,BC Public School,23,2396719,,,18,18,,,,,,,120,
2012/2013,SCHOOL LEVEL,BC Public School,23,2396738,,,,,,,,,18,,2244,
2012/2013,SCHOOL LEVEL,BC Public School,23,2396825,,,89,89,,,,,,,2,
2012/2013,SCHOOL LEVEL,BC Public School,23,2399159,5,,,,,,,,1,,106,
2012/2013,SCHOOL LEVEL,BC Public School,27,2727000,,,,,,,,,81,,1,
2012/2013,SCHOOL LEVEL,BC Public School,27,2727006,2,2,13,13,,,,,,,,
2012/2013,SCHOOL LEVEL,BC Public School,27,2727007,,,9,9,,,,,,,,
2012/2013,SCHOOL LEVEL,BC Public School,27,2727008,2,4,24,24,,,,,,,,
2012/2013,SCHOOL LEVEL,BC Public School,27,2727011,126,39,22,22,,,,,,,,
2012/2013,SCHOOL LEVEL,BC Public School,27,2727012,50,15,206,83,123,,,,,,,
2012/2013,SCHOOL LEVEL,BC Public School,27,2727014,1,,5,5,,,,,,,,
2012/2013,SCHOOL LEVEL,BC Public School,27,2727020,1,,9,9,,,,,,,,
2012/2013,SCHOOL LEVEL,BC Public School,27,2727022,27,1,112,26,86,,,,,,,
2012/2013,SCHOOL LEVEL,BC Public School,27,2727024,9,,,,,,,,,,,
2012/2013,SCHOOL LEVEL,BC Public School,27,2727026,48,,158,135,23,,,,,,,
2012/2013,SCHOOL LEVEL,BC Public School,27,2727027,65,9,106,106,,,,,,,,
2012/2013,SCHOOL LEVEL,BC Public School,27,2727030,9,3,8,8,,,,,,,,
2012/2013,SCHOOL LEVEL,BC Public School,27,2727035,11,,12,12,,,,,,,,
2012/2013,SCHOOL LEVEL,BC Public School,27,2727041,37,,72,72,,,,,,,,
2012/2013,SCHOOL LEVEL,BC Public School,27,2727045,68,10,65,65,,,,,,,,
2012/2013,SCHOOL LEVEL,BC Public School,27,2727047,169,43,357,320,37,,,4,,,36,2
2012/2013,SCHOOL LEVEL,BC Public School,27,2727048,24,,45,45,,,,,,,,
2012/2013,SCHOOL LEVEL,BC Public School,27,2727054,16,4,2,2,,,,,,,,
2012/2013,SCHOOL LEVEL,BC Public School,27,2727056,84,5,67,36,31,,,3,,,24,
2012/2013,SCHOOL LEVEL,BC Public School,27,2727057,69,9,135,135,,,,,,,,
2012/2013,SCHOOL LEVEL,BC Public School,27,2727059,23,8,,,,,,,,,,
2012/2013,SCHOOL LEVEL,BC Public School,27,2727061,27,6,86,86,,,,,,,,
2012/2013,SCHOOL LEVEL,BC Public School,27,2727062,14,4,81,81,,,,,,,,
2012/2013,SCHOOL LEVEL,BC Public School,27,2727065,101,40,88,88,,,,,,,,
2012/2013,SCHOOL LEVEL,BC Public School,27,2727066,3,,6,6,,,,,,,,
2012/2013,SCHOOL LEVEL,BC Public School,27,2727069,210,76,219,219,,,,1,,,42,
2012/2013,SCHOOL LEVEL,BC Public School,27,2727070,15,,,,,,,,,,,
2012/2013,SCHOOL LEVEL,BC Public School,27,2727071,52,29,3,3,,,,,,,,
2012/2013,SCHOOL LEVEL,BC Public School,27,2796177,,,50,50,,,,,,,20,
2012/2013,SCHOOL LEVEL,BC Public School,27,2796263,,,,,,,,,,,8,
2012/2013,SCHOOL LEVEL,BC Public School,27,2796566,,,30,30,,,,,,,,
2012/2013,SCHOOL LEVEL,BC Public School,27,2796801,,,7,7,,,,,,,38,
2012/2013,SCHOOL LEVEL,BC Public School,27,2797025,27,,,,,,,,,,,
2012/2013,SCHOOL LEVEL,BC Public School,27,2799060,,,20,20,,,,,,,75,
2012/2013,SCHOOL LEVEL,BC Public School,27,2799094,87,,,,,,,,,,3,
2012/2013,SCHOOL LEVEL,BC Public School,27,2799181,6,,,,,,,,,,2,
2012/2013,SCHOOL LEVEL,BC Public School,28,2828000,2,,20,20,,,1,,198,,2,
2012/2013,SCHOOL LEVEL,BC Public School,28,2828002,1,,3,3,,,,,,,,
2012/2013,SCHOOL LEVEL,BC Public School,28,2828004,138,13,366,333,33,,,,,,1,
2012/2013,SCHOOL LEVEL,BC Public School,28,2828008,23,9,22,22,,,,,,,,
2012/2013,SCHOOL LEVEL,BC Public School,28,2828012,6,4,1,1,,,,,,,,
2012/2013,SCHOOL LEVEL,BC Public School,28,2828016,58,20,71,71,,,,,,,,
2012/2013,SCHOOL LEVEL,BC Public School,28,2828019,71,11,165,33,132,,,,,,,
2012/2013,SCHOOL LEVEL,BC Public School,28,2828020,33,7,50,50,,,,,,,,
2012/2013,SCHOOL LEVEL,BC Public School,28,2828021,21,,79,79,,,,,,,,
2012/2013,SCHOOL LEVEL,BC Public School,28,2828024,34,3,68,68,,,,,,,,
2012/2013,SCHOOL LEVEL,BC Public School,28,2828032,40,7,75,75,,,,,,,,
2012/2013,SCHOOL LEVEL,BC Public School,28,2828034,216,8,228,195,33,,308,,,,55,
2012/2013,SCHOOL LEVEL,BC Public School,28,2828036,51,12,64,64,,,,,,,,
2012/2013,SCHOOL LEVEL,BC Public School,28,2828038,12,6,29,29,,,,,,,,
2012/2013,SCHOOL LEVEL,BC Public School,28,2828039,49,17,30,30,,,,,,,,
2012/2013,SCHOOL LEVEL,BC Public School,28,2828040,24,6,31,31,,,,,,,,
2012/2013,SCHOOL LEVEL,BC Public School,28,2828041,23,8,,,,,,,,,,
2012/2013,SCHOOL LEVEL,BC Public School,28,2896434,,,95,95,,,,,,,,
2012/2013,SCHOOL LEVEL,BC Public School,28,2899005,28,8,,,,,,,,,2,
2012/2013,SCHOOL LEVEL,BC Public School,28,2899174,,,,,,,,,,,26,
2012/2013,SCHOOL LEVEL,BC Public School,33,3333000,49,,,,,,,,123,,1,
2012/2013,SCHOOL LEVEL,BC Public School,33,3333003,54,10,139,109,30,,,,,,,
2012/2013,SCHOOL LEVEL,BC Public School,33,3333004,96,14,293,231,62,,,,,,1,
2012/2013,SCHOOL LEVEL,BC Public School,33,3333005,79,51,153,94,59,,,,,,,
2012/2013,SCHOOL LEVEL,BC Public School,33,3333008,98,51,56,56,,,,,,,,
2012/2013,SCHOOL LEVEL,BC Public School,33,3333009,52,26,53,53,,,,,,,,
2012/2013,SCHOOL LEVEL,BC Public School,33,3333010,19,7,88,88,,,,,,,,
2012/2013,SCHOOL LEVEL,BC Public School,33,3333011,62,27,124,124,,,,,,,,
2012/2013,SCHOOL LEVEL,BC Public School,33,3333012,189,,108,108,,,173,,2,,181,12
2012/2013,SCHOOL LEVEL,BC Public School,33,3333013,15,4,45,45,,,,,,,,
2012/2013,SCHOOL LEVEL,BC Public School,33,3333015,18,14,75,75,,,,,,,,
2012/2013,SCHOOL LEVEL,BC Public School,33,3333016,38,7,86,86,,,,,,,,
2012/2013,SCHOOL LEVEL,BC Public School,33,3333017,73,43,106,106,,,,,,,,
2012/2013,SCHOOL LEVEL,BC Public School,33,3333018,128,23,364,180,183,1,204,38,,14,317,22
2012/2013,SCHOOL LEVEL,BC Public School,33,3333019,93,53,69,69,,,,,,,,
2012/2013,SCHOOL LEVEL,BC Public School,33,3333021,42,13,,,,,,,,,,
2012/2013,SCHOOL LEVEL,BC Public School,33,3333023,59,3,210,210,,,,,,,1,
2012/2013,SCHOOL LEVEL,BC Public School,33,3333024,43,9,57,57,,,,,,,,
2012/2013,SCHOOL LEVEL,BC Public School,33,3333028,77,39,77,77,,,,,,,,
